num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba50_1k_4.pickle
../data/final/edges_ba50.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 5 - b60f79490ef3bf45. Mean loss in evaluation epoch: 0.1063149943947792, epochs needed: 50
evaluating individudal 6 - f0e49569c6c81fa1. Mean loss in evaluation epoch: 0.1064494177699089, epochs needed: 50
evaluating individudal 7 - 7067d568a7ee0b34. Mean loss in evaluation epoch: 0.10615517944097519, epochs needed: 50
evaluating individudal 8 - b559485485bceb5b. Mean loss in evaluation epoch: 0.10879182815551758, epochs needed: 50
evaluating individudal 9 - 1ee8b39a5442dd5e. Mean loss in evaluation epoch: 0.10582738369703293, epochs needed: 50
evaluating individudal 10 - cd08b5f78564de4f. Mean loss in evaluation epoch: 0.10555507242679596, epochs needed: 50
evaluating individudal 11 - 649c6c8eb94c87e8. Mean loss in evaluation epoch: 0.1054714247584343, epochs needed: 50
evaluating individudal 12 - 6314153dae606704. Mean loss in evaluation epoch: 0.10562079399824142, epochs needed: 50
evaluating individudal 13 - a92607b5fdb672a5. Mean loss in evaluation epoch: 0.10519301891326904, epochs needed: 50
evaluating individudal 14 - 5b3b181931af1323. Mean loss in evaluation epoch: 0.10596334934234619, epochs needed: 50
evaluating individudal 15 - 9f0a89847e05bca3. Mean loss in evaluation epoch: 0.10632949322462082, epochs needed: 50
evaluating individudal 16 - ef4d1e5e4ae5f0f0. Mean loss in evaluation epoch: 0.10510685294866562, epochs needed: 50
evaluating individudal 17 - a4cf023b8a94cc12. Mean loss in evaluation epoch: 0.10550680011510849, epochs needed: 50
evaluating individudal 18 - 7fc97c124c1e72ea. Mean loss in evaluation epoch: 0.10587596893310547, epochs needed: 50
evaluating individudal 19 - 02b9b6d13d6bfee5. Mean loss in evaluation epoch: 0.10602741688489914, epochs needed: 50
evaluating individudal 20 - fa1b55754adf4ca9. Mean loss in evaluation epoch: 0.1055770143866539, epochs needed: 50
evaluating individudal 21 - bd075ebf45bbe069. Mean loss in evaluation epoch: 0.10561692714691162, epochs needed: 50
evaluating individudal 22 - 8fb59c56e8c907a7. Mean loss in evaluation epoch: 0.10468678921461105, epochs needed: 50
evaluating individudal 23 - f29495c502427313. Mean loss in evaluation epoch: 0.10514058917760849, epochs needed: 50
evaluating individudal 24 - 300e8279a948ea10. Mean loss in evaluation epoch: 0.10529627650976181, epochs needed: 50
evaluating individudal 25 - bd524d2d65ace30f. Mean loss in evaluation epoch: 0.10477565973997116, epochs needed: 50
evaluating individudal 26 - 40f24c601569530d. Mean loss in evaluation epoch: 0.10744130611419678, epochs needed: 50
evaluating individudal 27 - 584ca15e6c6fd2a3. Mean loss in evaluation epoch: 0.10680990666151047, epochs needed: 50
evaluating individudal 28 - 5222f4284df956d2. Mean loss in evaluation epoch: 0.10550267994403839, epochs needed: 50
evaluating individudal 29 - 7b901624986a4340. Mean loss in evaluation epoch: 0.10495338588953018, epochs needed: 50
evaluating individudal 30 - 5cf78fe858256db3. Mean loss in evaluation epoch: 0.10490810126066208, epochs needed: 50
evaluating individudal 31 - 2b3fff7fd597dd62. Mean loss in evaluation epoch: 0.10540848225355148, epochs needed: 50
evaluating individudal 32 - 5f89cf11870d7615. Mean loss in evaluation epoch: 0.10480823367834091, epochs needed: 50
evaluating individudal 33 - 4ec2bba72f0f41a5. Mean loss in evaluation epoch: 0.10606324672698975, epochs needed: 50
evaluating individudal 34 - 29ba3f483b72e893. Mean loss in evaluation epoch: 0.1044837236404419, epochs needed: 50
evaluating individudal 35 - 532938df7d5c2613. Mean loss in evaluation epoch: 0.10493629425764084, epochs needed: 50
evaluating individudal 36 - 8342c66f9e1937e0. Mean loss in evaluation epoch: 0.1046362891793251, epochs needed: 50
evaluating individudal 37 - c0227bbe248342d1. Mean loss in evaluation epoch: 0.10478878021240234, epochs needed: 50
evaluating individudal 38 - a7ab1e80c6edb347. Mean loss in evaluation epoch: 0.1046283021569252, epochs needed: 50
evaluating individudal 39 - 08e81bd9b4571812. Mean loss in evaluation epoch: 0.1056147962808609, epochs needed: 50
evaluating individudal 0 - f663ea713006716e. Mean loss in evaluation epoch: 0.10625429451465607, epochs needed: 50
evaluating individudal 1 - 02f7ff980dfba5bb. Mean loss in evaluation epoch: 0.10614397376775742, epochs needed: 50
evaluating individudal 2 - 422ecc7ecf82e1b0. Mean loss in evaluation epoch: 0.10603337734937668, epochs needed: 50
evaluating individudal 3 - 38749cfa2feeeed5. Mean loss in evaluation epoch: 0.10648063570261002, epochs needed: 50
evaluating individudal 4 - 98043fe7b225edd6. Mean loss in evaluation epoch: 0.10566069185733795, epochs needed: 50
evaluating individudal 5 - 7f6ac91697c66a4e. Mean loss in evaluation epoch: 0.10505383461713791, epochs needed: 50
evaluating individudal 6 - a9ee9946791f9dde. Mean loss in evaluation epoch: 0.10533194988965988, epochs needed: 50
evaluating individudal 7 - 0ecb12084f5b080c. Mean loss in evaluation epoch: 0.10560436546802521, epochs needed: 50
evaluating individudal 8 - cdee9f85e5ba40fc. Mean loss in evaluation epoch: 0.10577412694692612, epochs needed: 50
evaluating individudal 9 - 5589313ec345af03. Mean loss in evaluation epoch: 0.10620106756687164, epochs needed: 50
Round 4 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 29ba3f483b72e893, num_times_seen_before: 0
ACC: 0.4481632653061225
TPR/FPR: 0.8020833333333334, 0.5819309123117803
Loss: 0.1044837236404419
Timestamp: 23037.381012432976
---------------------------------------------------------------
