../data/final/netrd/SIS/timeseries_bull_5k_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 40
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 5000
NUM_TRAIN_SAMPLES: 3999
NUM_TRAIN_BATCHES: 40
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 40
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 71, run 0. Mean loss in evaluation epoch: 0.44472479820251465, epochs needed: 40
evaluating: matrix 72, run 0. Mean loss in evaluation epoch: 0.44810324907302856, epochs needed: 40
evaluating: matrix 73, run 0. Mean loss in evaluation epoch: 0.44694605469703674, epochs needed: 40
evaluating: matrix 74, run 0. Mean loss in evaluation epoch: 0.44210320711135864, epochs needed: 40
evaluating: matrix 75, run 0. Mean loss in evaluation epoch: 0.4454529285430908, epochs needed: 40
evaluating: matrix 76, run 0. Mean loss in evaluation epoch: 0.4466268718242645, epochs needed: 40
evaluating: matrix 77, run 0. Mean loss in evaluation epoch: 0.4431018829345703, epochs needed: 40
evaluating: matrix 78, run 0. Mean loss in evaluation epoch: 0.4460657238960266, epochs needed: 40
evaluating: matrix 79, run 0. Mean loss in evaluation epoch: 0.4439728856086731, epochs needed: 40
evaluating: matrix 80, run 0. Mean loss in evaluation epoch: 0.4461183547973633, epochs needed: 40
evaluating: matrix 81, run 0. Mean loss in evaluation epoch: 0.44104066491127014, epochs needed: 40
evaluating: matrix 82, run 0. Mean loss in evaluation epoch: 0.4475914537906647, epochs needed: 40
evaluating: matrix 83, run 0. Mean loss in evaluation epoch: 0.43664059042930603, epochs needed: 40
evaluating: matrix 84, run 0. Mean loss in evaluation epoch: 0.44697102904319763, epochs needed: 40
evaluating: matrix 85, run 0. Mean loss in evaluation epoch: 0.44146275520324707, epochs needed: 40
evaluating: matrix 86, run 0. Mean loss in evaluation epoch: 0.44597122073173523, epochs needed: 40
evaluating: matrix 87, run 0. Mean loss in evaluation epoch: 0.44050702452659607, epochs needed: 40
evaluating: matrix 88, run 0. Mean loss in evaluation epoch: 0.4471643567085266, epochs needed: 40
evaluating: matrix 89, run 0. Mean loss in evaluation epoch: 0.44545045495033264, epochs needed: 40
evaluating: matrix 90, run 0. Mean loss in evaluation epoch: 0.44761520624160767, epochs needed: 40
evaluating: matrix 91, run 0. Mean loss in evaluation epoch: 0.44305869936943054, epochs needed: 40
evaluating: matrix 92, run 0. Mean loss in evaluation epoch: 0.446855753660202, epochs needed: 40
evaluating: matrix 93, run 0. Mean loss in evaluation epoch: 0.4404716193675995, epochs needed: 40
evaluating: matrix 94, run 0. Mean loss in evaluation epoch: 0.44677218794822693, epochs needed: 40
evaluating: matrix 95, run 0. Mean loss in evaluation epoch: 0.44011998176574707, epochs needed: 40
evaluating: matrix 96, run 0. Mean loss in evaluation epoch: 0.4459916055202484, epochs needed: 40
evaluating: matrix 97, run 0. Mean loss in evaluation epoch: 0.44703036546707153, epochs needed: 40
evaluating: matrix 98, run 0. Mean loss in evaluation epoch: 0.4427057206630707, epochs needed: 40
evaluating: matrix 99, run 0. Mean loss in evaluation epoch: 0.44314852356910706, epochs needed: 40
evaluating: matrix 100, run 0. Mean loss in evaluation epoch: 0.4465690553188324, epochs needed: 40
evaluating: matrix 101, run 0. Mean loss in evaluation epoch: 0.44782957434654236, epochs needed: 40
evaluating: matrix 102, run 0. Mean loss in evaluation epoch: 0.4431729316711426, epochs needed: 40
evaluating: matrix 103, run 0. Mean loss in evaluation epoch: 0.44569310545921326, epochs needed: 40
evaluating: matrix 104, run 0. Mean loss in evaluation epoch: 0.4457300305366516, epochs needed: 40
evaluating: matrix 105, run 0. Mean loss in evaluation epoch: 0.4504570960998535, epochs needed: 40
evaluating: matrix 106, run 0. Mean loss in evaluation epoch: 0.4418551027774811, epochs needed: 40
evaluating: matrix 107, run 0. Mean loss in evaluation epoch: 0.4412977695465088, epochs needed: 40
evaluating: matrix 108, run 0. Mean loss in evaluation epoch: 0.4490874707698822, epochs needed: 40
evaluating: matrix 109, run 0. Mean loss in evaluation epoch: 0.44775906205177307, epochs needed: 40
evaluating: matrix 110, run 0. Mean loss in evaluation epoch: 0.446183443069458, epochs needed: 40
evaluating: matrix 111, run 0. Mean loss in evaluation epoch: 0.44592323899269104, epochs needed: 40
evaluating: matrix 112, run 0. Mean loss in evaluation epoch: 0.4466502368450165, epochs needed: 40
evaluating: matrix 113, run 0. Mean loss in evaluation epoch: 0.44271188974380493, epochs needed: 40
evaluating: matrix 114, run 0. Mean loss in evaluation epoch: 0.4453076422214508, epochs needed: 40
evaluating: matrix 115, run 0. Mean loss in evaluation epoch: 0.44114741683006287, epochs needed: 40
evaluating: matrix 116, run 0. Mean loss in evaluation epoch: 0.4500889778137207, epochs needed: 40
evaluating: matrix 117, run 0. Mean loss in evaluation epoch: 0.4441136419773102, epochs needed: 40
evaluating: matrix 118, run 0. Mean loss in evaluation epoch: 0.4429655969142914, epochs needed: 40
evaluating: matrix 119, run 0. Mean loss in evaluation epoch: 0.4445381164550781, epochs needed: 40
evaluating: matrix 120, run 0. Mean loss in evaluation epoch: 0.4457646906375885, epochs needed: 40
evaluating: matrix 121, run 0. Mean loss in evaluation epoch: 0.44382429122924805, epochs needed: 40
evaluating: matrix 122, run 0. Mean loss in evaluation epoch: 0.44450899958610535, epochs needed: 40
evaluating: matrix 123, run 0. Mean loss in evaluation epoch: 0.44409018754959106, epochs needed: 40
evaluating: matrix 124, run 0. Mean loss in evaluation epoch: 0.44649073481559753, epochs needed: 40
evaluating: matrix 125, run 0. Mean loss in evaluation epoch: 0.44647908210754395, epochs needed: 40
evaluating: matrix 126, run 0. Mean loss in evaluation epoch: 0.44498148560523987, epochs needed: 40
evaluating: matrix 127, run 0. Mean loss in evaluation epoch: 0.4464662969112396, epochs needed: 40
evaluating: matrix 128, run 0. Mean loss in evaluation epoch: 0.44785189628601074, epochs needed: 40
evaluating: matrix 129, run 0. Mean loss in evaluation epoch: 0.44314098358154297, epochs needed: 40
evaluating: matrix 130, run 0. Mean loss in evaluation epoch: 0.44738179445266724, epochs needed: 40
evaluating: matrix 131, run 0. Mean loss in evaluation epoch: 0.4405415654182434, epochs needed: 40
evaluating: matrix 132, run 0. Mean loss in evaluation epoch: 0.44376251101493835, epochs needed: 40
evaluating: matrix 133, run 0. Mean loss in evaluation epoch: 0.44605669379234314, epochs needed: 40
evaluating: matrix 134, run 0. Mean loss in evaluation epoch: 0.44548502564430237, epochs needed: 40
evaluating: matrix 135, run 0. Mean loss in evaluation epoch: 0.44479629397392273, epochs needed: 40
