../data/final/netrd/SIS/timeseries_bull_200_0.2_dontdie.pickle
../data/final/netrd/SIS/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 1000
FORMAT: timeseries
HIDDEN_SIZE: 128
USE_TESTSET: True
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 200
NUM_TRAIN_SAMPLES: 159
NUM_TRAIN_BATCHES: 2
NUM_TEST_SAMPLES: 40
NUM_TEST_BATCHES: 1
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 1000
IS_CONTINUOUS: False
USE_MAX: False
evaluating: matrix 72, run 0. Mean loss in evaluation epoch: 0.4613419473171234, epochs needed: 1000
evaluating: matrix 73, run 0. Mean loss in evaluation epoch: 0.46383213996887207, epochs needed: 1000
evaluating: matrix 74, run 0. Mean loss in evaluation epoch: 0.4631223976612091, epochs needed: 1000
evaluating: matrix 75, run 0. Mean loss in evaluation epoch: 0.461223840713501, epochs needed: 1000
evaluating: matrix 76, run 0. Mean loss in evaluation epoch: 0.45474010705947876, epochs needed: 1000
evaluating: matrix 77, run 0. Mean loss in evaluation epoch: 0.4658292829990387, epochs needed: 1000
evaluating: matrix 78, run 0. Mean loss in evaluation epoch: 0.46238547563552856, epochs needed: 1000
evaluating: matrix 79, run 0. Mean loss in evaluation epoch: 0.46189549565315247, epochs needed: 1000
evaluating: matrix 80, run 0. Mean loss in evaluation epoch: 0.4617999196052551, epochs needed: 1000
evaluating: matrix 81, run 0. Mean loss in evaluation epoch: 0.47598686814308167, epochs needed: 1000
evaluating: matrix 82, run 0. Mean loss in evaluation epoch: 0.4631102383136749, epochs needed: 1000
evaluating: matrix 83, run 0. Mean loss in evaluation epoch: 0.4727717339992523, epochs needed: 1000
evaluating: matrix 84, run 0. Mean loss in evaluation epoch: 0.46454718708992004, epochs needed: 1000
evaluating: matrix 85, run 0. Mean loss in evaluation epoch: 0.47810789942741394, epochs needed: 1000
evaluating: matrix 86, run 0. Mean loss in evaluation epoch: 0.45924481749534607, epochs needed: 1000
evaluating: matrix 87, run 0. Mean loss in evaluation epoch: 0.4655602276325226, epochs needed: 1000
evaluating: matrix 88, run 0. Mean loss in evaluation epoch: 0.46873557567596436, epochs needed: 1000
evaluating: matrix 89, run 0. Mean loss in evaluation epoch: 0.4731631875038147, epochs needed: 1000
evaluating: matrix 90, run 0. Mean loss in evaluation epoch: 0.46985867619514465, epochs needed: 1000
evaluating: matrix 91, run 0. Mean loss in evaluation epoch: 0.4745906591415405, epochs needed: 1000
evaluating: matrix 92, run 0. Mean loss in evaluation epoch: 0.45984023809432983, epochs needed: 1000
evaluating: matrix 93, run 0. Mean loss in evaluation epoch: 0.47342628240585327, epochs needed: 1000
evaluating: matrix 94, run 0. Mean loss in evaluation epoch: 0.4562915861606598, epochs needed: 1000
evaluating: matrix 95, run 0. Mean loss in evaluation epoch: 0.48123684525489807, epochs needed: 1000
evaluating: matrix 96, run 0. Mean loss in evaluation epoch: 0.4506056606769562, epochs needed: 1000
evaluating: matrix 97, run 0. Mean loss in evaluation epoch: 0.44881510734558105, epochs needed: 1000
evaluating: matrix 98, run 0. Mean loss in evaluation epoch: 0.45175692439079285, epochs needed: 1000
evaluating: matrix 99, run 0. Mean loss in evaluation epoch: 0.44324520230293274, epochs needed: 1000
evaluating: matrix 100, run 0. Mean loss in evaluation epoch: 0.4556919038295746, epochs needed: 1000
evaluating: matrix 101, run 0. Mean loss in evaluation epoch: 0.45708394050598145, epochs needed: 1000
evaluating: matrix 102, run 0. Mean loss in evaluation epoch: 0.45756104588508606, epochs needed: 1000
evaluating: matrix 103, run 0. Mean loss in evaluation epoch: 0.4578356444835663, epochs needed: 1000
evaluating: matrix 104, run 0. Mean loss in evaluation epoch: 0.4563455283641815, epochs needed: 1000
