../data/final/cml/timeseries_bull_5k_4_onetake.pickle
../data/final/cml/edges_bull.pickle
SEED: 0
NUM_RUNS: 1
BATCH_SIZE: 100
NUM_DYN_EPOCHS: 10
FORMAT: standard
HIDDEN_SIZE: 128
tensor([[0., 1., 1., 0., 0.],
        [1., 0., 1., 1., 0.],
        [1., 1., 0., 0., 1.],
        [0., 1., 0., 0., 0.],
        [0., 0., 1., 0., 0.]])
num samples: 4991
NUM_SAMPLES: 4991
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 10
IS_CONTINUOUS: True
NUM_BATCHES: 50
USE_MAX: False
evaluating: matrix 83, run 0. Mean loss in evaluation epoch: 0.1930171698331833, epochs needed: 10
evaluating: matrix 84, run 0. Mean loss in evaluation epoch: 0.16496621072292328, epochs needed: 10
evaluating: matrix 85, run 0. Mean loss in evaluation epoch: 0.19866862893104553, epochs needed: 10
evaluating: matrix 86, run 0. Mean loss in evaluation epoch: 0.17743773758411407, epochs needed: 10
evaluating: matrix 87, run 0. Mean loss in evaluation epoch: 0.19128520786762238, epochs needed: 10
evaluating: matrix 88, run 0. Mean loss in evaluation epoch: 0.19531340897083282, epochs needed: 10
evaluating: matrix 89, run 0. Mean loss in evaluation epoch: 0.2017921358346939, epochs needed: 10
evaluating: matrix 90, run 0. Mean loss in evaluation epoch: 0.18880483508110046, epochs needed: 10
evaluating: matrix 91, run 0. Mean loss in evaluation epoch: 0.1779654622077942, epochs needed: 10
evaluating: matrix 92, run 0. Mean loss in evaluation epoch: 0.1787896752357483, epochs needed: 10
evaluating: matrix 93, run 0. Mean loss in evaluation epoch: 0.18732398748397827, epochs needed: 10
evaluating: matrix 94, run 0. Mean loss in evaluation epoch: 0.17951537668704987, epochs needed: 10
evaluating: matrix 95, run 0. Mean loss in evaluation epoch: 0.1878594607114792, epochs needed: 10
evaluating: matrix 96, run 0. Mean loss in evaluation epoch: 0.1637410670518875, epochs needed: 10
evaluating: matrix 97, run 0. Mean loss in evaluation epoch: 0.17649027705192566, epochs needed: 10
evaluating: matrix 98, run 0. Mean loss in evaluation epoch: 0.20480643212795258, epochs needed: 10
evaluating: matrix 99, run 0. Mean loss in evaluation epoch: 0.18890361487865448, epochs needed: 10
evaluating: matrix 100, run 0. Mean loss in evaluation epoch: 0.1574469357728958, epochs needed: 10
evaluating: matrix 101, run 0. Mean loss in evaluation epoch: 0.1787385493516922, epochs needed: 10
evaluating: matrix 102, run 0. Mean loss in evaluation epoch: 0.18841035664081573, epochs needed: 10
evaluating: matrix 103, run 0. Mean loss in evaluation epoch: 0.18499724566936493, epochs needed: 10
evaluating: matrix 104, run 0. Mean loss in evaluation epoch: 0.19421790540218353, epochs needed: 10
evaluating: matrix 105, run 0. Mean loss in evaluation epoch: 0.19712954759597778, epochs needed: 10
evaluating: matrix 106, run 0. Mean loss in evaluation epoch: 0.21378223598003387, epochs needed: 10
evaluating: matrix 107, run 0. Mean loss in evaluation epoch: 0.1998472511768341, epochs needed: 10
evaluating: matrix 108, run 0. Mean loss in evaluation epoch: 0.16955585777759552, epochs needed: 10
evaluating: matrix 109, run 0. Mean loss in evaluation epoch: 0.16773776710033417, epochs needed: 10
evaluating: matrix 110, run 0. Mean loss in evaluation epoch: 0.18316583335399628, epochs needed: 10
evaluating: matrix 111, run 0. Mean loss in evaluation epoch: 0.19733694195747375, epochs needed: 10
evaluating: matrix 112, run 0. Mean loss in evaluation epoch: 0.172343447804451, epochs needed: 10
evaluating: matrix 113, run 0. Mean loss in evaluation epoch: 0.17279021441936493, epochs needed: 10
