num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
Matrix Hash: 81f5c03635848d06, num_times_seen_before: 0
ACC: 0.5105263157894737
TPR/FPR: 0.7222222222222222, 0.538961038961039
Loss: 0.11209455877542496
Timestamp: 2596.6957735070027
---------------------------------------------------------------
evaluating individudal 0 - b54f8a823813d3e2. Mean loss in evaluation epoch: 0.11268047243356705, epochs needed: 50
evaluating individudal 1 - a1259281163ee448. Mean loss in evaluation epoch: 0.12049805372953415, epochs needed: 50
evaluating individudal 2 - 3090521b0e8fa351. Mean loss in evaluation epoch: 0.11418061703443527, epochs needed: 50
evaluating individudal 3 - 3b28241a909bf56b. Mean loss in evaluation epoch: 0.11112439632415771, epochs needed: 50
evaluating individudal 4 - 2f04884c52813316. Mean loss in evaluation epoch: 0.1105484589934349, epochs needed: 50
evaluating individudal 5 - 6e50a5c85ceaad77. Mean loss in evaluation epoch: 0.11150622367858887, epochs needed: 50
evaluating individudal 6 - f2244bdf3105236a. Mean loss in evaluation epoch: 0.11259406805038452, epochs needed: 50
evaluating individudal 7 - 8a2406f2fe5cbde7. Mean loss in evaluation epoch: 0.11069007217884064, epochs needed: 50
evaluating individudal 8 - 383632c5527e0da8. Mean loss in evaluation epoch: 0.11099059879779816, epochs needed: 50
evaluating individudal 9 - dd560c5afdf9bc20. Mean loss in evaluation epoch: 0.10994060337543488, epochs needed: 50
evaluating individudal 10 - e4d94d8bd142b492. Mean loss in evaluation epoch: 0.11027320474386215, epochs needed: 50
evaluating individudal 11 - 37631a25108dca57. Mean loss in evaluation epoch: 0.11089123785495758, epochs needed: 50
evaluating individudal 12 - 7526845e52eb14c1. Mean loss in evaluation epoch: 0.10943665355443954, epochs needed: 50
evaluating individudal 13 - 92e766f9bb39f986. Mean loss in evaluation epoch: 0.11187954246997833, epochs needed: 50
evaluating individudal 14 - 50c30f48e88f9752. Mean loss in evaluation epoch: 0.11599408835172653, epochs needed: 50
evaluating individudal 15 - cd1cb3429fd1a760. Mean loss in evaluation epoch: 0.10966473072767258, epochs needed: 50
evaluating individudal 16 - 378f47d368def284. Mean loss in evaluation epoch: 0.1319635957479477, epochs needed: 50
evaluating individudal 17 - bfe93dcd4daf74a7. Mean loss in evaluation epoch: 0.13890452682971954, epochs needed: 50
evaluating individudal 18 - 62c4e86e063a63a3. Mean loss in evaluation epoch: 0.1112138032913208, epochs needed: 50
evaluating individudal 19 - 71598238cf04dc24. Mean loss in evaluation epoch: 0.11030705273151398, epochs needed: 50
