num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 16 - 8f541a36f191ae38. Mean loss in evaluation epoch: 0.31950557231903076, epochs needed: 20
evaluating individudal 17 - 22cc0dab82a6ccda. Mean loss in evaluation epoch: 0.3181753158569336, epochs needed: 20
evaluating individudal 18 - 124d4efdfe9b669e. Mean loss in evaluation epoch: 0.3190499544143677, epochs needed: 20
evaluating individudal 19 - 586e057511435f2d. Mean loss in evaluation epoch: 0.31943434476852417, epochs needed: 20
evaluating individudal 20 - cbc0ecfe5c14e856. Mean loss in evaluation epoch: 0.31864356994628906, epochs needed: 20
evaluating individudal 21 - dac1b6f8ba800d95. Mean loss in evaluation epoch: 0.31838005781173706, epochs needed: 20
evaluating individudal 22 - 8fc257ff6deaf6bd. Mean loss in evaluation epoch: 0.3176143765449524, epochs needed: 20
evaluating individudal 23 - 7644a3378f7f146c. Mean loss in evaluation epoch: 0.3204333484172821, epochs needed: 20
evaluating individudal 24 - 5ac89e77075d170a. Mean loss in evaluation epoch: 0.3189867436885834, epochs needed: 20
evaluating individudal 25 - 57e33d0866d69c07. Mean loss in evaluation epoch: 0.31882864236831665, epochs needed: 20
evaluating individudal 26 - d17b353e2e01ebb9. Mean loss in evaluation epoch: 0.3217772841453552, epochs needed: 20
evaluating individudal 27 - 12b33c28830d42c7. Mean loss in evaluation epoch: 0.32042038440704346, epochs needed: 20
evaluating individudal 28 - 0b133d30c3ae8eaf. Mean loss in evaluation epoch: 0.3177359998226166, epochs needed: 20
evaluating individudal 29 - 801dea338cc832e1. Mean loss in evaluation epoch: 0.31839731335639954, epochs needed: 20
evaluating individudal 30 - aaec50defafd322c. Mean loss in evaluation epoch: 0.31781190633773804, epochs needed: 20
evaluating individudal 31 - 0e2ebb95f36d6464. Mean loss in evaluation epoch: 0.3179731070995331, epochs needed: 20
evaluating individudal 32 - bb46b737036a7aea. Mean loss in evaluation epoch: 0.3210909068584442, epochs needed: 20
evaluating individudal 33 - 7559ee8acd05517c. Mean loss in evaluation epoch: 0.3168105483055115, epochs needed: 20
evaluating individudal 34 - 3b991a3389ec6aa5. Mean loss in evaluation epoch: 0.3188692331314087, epochs needed: 20
evaluating individudal 35 - 5856bcab53516890. Mean loss in evaluation epoch: 0.3189629316329956, epochs needed: 20
evaluating individudal 36 - d74ad2c7f827a9ae. Mean loss in evaluation epoch: 0.3194127082824707, epochs needed: 20
evaluating individudal 37 - 1a61dded47d35e0f. Mean loss in evaluation epoch: 0.318112850189209, epochs needed: 20
evaluating individudal 38 - c7490a3fd55517f0. Mean loss in evaluation epoch: 0.319631963968277, epochs needed: 20
evaluating individudal 39 - 1e4bcf11604dac32. Mean loss in evaluation epoch: 0.3178398907184601, epochs needed: 20
evaluating individudal 0 - 184ba03f77cd6204. Mean loss in evaluation epoch: 0.31870850920677185, epochs needed: 20
evaluating individudal 1 - 6b830ef199bf5bc3. Mean loss in evaluation epoch: 0.3189883530139923, epochs needed: 20
evaluating individudal 2 - 355a99c8b4ed156c. Mean loss in evaluation epoch: 0.3191506266593933, epochs needed: 20
evaluating individudal 3 - f21083fe106b2d45. Mean loss in evaluation epoch: 0.31957167387008667, epochs needed: 20
