num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 19 - 9b8c60ff83c553df. Mean loss in evaluation epoch: 0.317416787147522, epochs needed: 20
evaluating individudal 20 - 48e6ecd32989f82d. Mean loss in evaluation epoch: 0.31781476736068726, epochs needed: 20
evaluating individudal 21 - f27cb2f358d0ad7a. Mean loss in evaluation epoch: 0.3176993727684021, epochs needed: 20
evaluating individudal 22 - e93d65e07af3fb0b. Mean loss in evaluation epoch: 0.3175821900367737, epochs needed: 20
evaluating individudal 23 - d6b4fec89fb83745. Mean loss in evaluation epoch: 0.3182589113712311, epochs needed: 20
evaluating individudal 24 - 9fff9225e2d5e3c0. Mean loss in evaluation epoch: 0.31879758834838867, epochs needed: 20
evaluating individudal 25 - cbf013ac5555ddbc. Mean loss in evaluation epoch: 0.319999635219574, epochs needed: 20
evaluating individudal 26 - 5816886164aa9fd6. Mean loss in evaluation epoch: 0.3166719675064087, epochs needed: 20
evaluating individudal 27 - a1e353dd6ae99c2b. Mean loss in evaluation epoch: 0.31826555728912354, epochs needed: 20
evaluating individudal 28 - a5575a3292a8441c. Mean loss in evaluation epoch: 0.317439466714859, epochs needed: 20
evaluating individudal 29 - 944b3b5ffa11d45b. Mean loss in evaluation epoch: 0.31643146276474, epochs needed: 20
evaluating individudal 30 - 0fb859ced43358be. Mean loss in evaluation epoch: 0.3183262050151825, epochs needed: 20
evaluating individudal 31 - 6f7c87c190a3da3c. Mean loss in evaluation epoch: 0.31682640314102173, epochs needed: 20
evaluating individudal 32 - 9fcee4683a0933d5. Mean loss in evaluation epoch: 0.3194238543510437, epochs needed: 20
evaluating individudal 33 - 8022d837c3d35447. Mean loss in evaluation epoch: 0.3165280222892761, epochs needed: 20
