num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 0 - 282afe21f5861cc7. Mean loss in evaluation epoch: 0.045509662479162216, epochs needed: 200
evaluating individudal 1 - 583c380e27d83911. Mean loss in evaluation epoch: 0.04318494349718094, epochs needed: 200
evaluating individudal 2 - 6646e42175c76a0b. Mean loss in evaluation epoch: 0.043611422181129456, epochs needed: 200
evaluating individudal 3 - 7a9b998a4a32499f. Mean loss in evaluation epoch: 0.04976646229624748, epochs needed: 200
evaluating individudal 4 - 0c5c31c75a2e7f91. Mean loss in evaluation epoch: 0.04238312318921089, epochs needed: 200
evaluating individudal 5 - b2366368db509d4c. Mean loss in evaluation epoch: 0.04195543751120567, epochs needed: 200
evaluating individudal 6 - 674458545e717383. Mean loss in evaluation epoch: 0.04341600090265274, epochs needed: 200
evaluating individudal 7 - 76d060afb7762922. Mean loss in evaluation epoch: 0.043692197650671005, epochs needed: 200
evaluating individudal 8 - aab1466c91309af0. Mean loss in evaluation epoch: 0.06087709590792656, epochs needed: 200
evaluating individudal 9 - 2ff84e1f2664d744. Mean loss in evaluation epoch: 0.045705001801252365, epochs needed: 200
evaluating individudal 10 - 902be33c50659534. Mean loss in evaluation epoch: 0.044651418924331665, epochs needed: 200
evaluating individudal 11 - af1a1401608ecc5a. Mean loss in evaluation epoch: 0.05101310834288597, epochs needed: 200
evaluating individudal 12 - 7cc6eab1e5e634b9. Mean loss in evaluation epoch: 0.0422612801194191, epochs needed: 200
evaluating individudal 13 - 830d9a76d2571a03. Mean loss in evaluation epoch: 0.04072466120123863, epochs needed: 200
evaluating individudal 14 - cb80eef58a7c5e11. Mean loss in evaluation epoch: 0.04063478857278824, epochs needed: 200
evaluating individudal 15 - 262a84169b593107. Mean loss in evaluation epoch: 0.041771214455366135, epochs needed: 200
evaluating individudal 16 - 6024cd5fbfab9530. Mean loss in evaluation epoch: 0.048010844737291336, epochs needed: 200
evaluating individudal 17 - df9b4e0a8479e00a. Mean loss in evaluation epoch: 0.049779925495386124, epochs needed: 200
evaluating individudal 18 - d19db16eb1095a1a. Mean loss in evaluation epoch: 0.04187789559364319, epochs needed: 200
