num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 4 - 85ce132bcd5275e9. Mean loss in evaluation epoch: 0.05038045719265938, epochs needed: 200
evaluating individudal 5 - e37e9afb551c7f16. Mean loss in evaluation epoch: 0.047833215445280075, epochs needed: 200
evaluating individudal 6 - fa10044f2787623d. Mean loss in evaluation epoch: 0.04838573560118675, epochs needed: 200
evaluating individudal 7 - da9ac4270e52fa1c. Mean loss in evaluation epoch: 0.04758651182055473, epochs needed: 200
evaluating individudal 8 - d343bcb05ef4025f. Mean loss in evaluation epoch: 0.04608902335166931, epochs needed: 200
evaluating individudal 9 - ac093b9d0c0fc230. Mean loss in evaluation epoch: 0.04974333196878433, epochs needed: 200
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 96308821e0ba122d, num_times_seen_before: 0
ACC: 0.7105263157894737
TPR/FPR: 1.0, 0.35714285714285715
Loss: 0.03809095546603203
Timestamp: 5184.500809423975
---------------------------------------------------------------
