num samples: 10000
NUM_TRAIN_SAMPLES: 9999
NUM_TRAIN_BATCHES: 100
NUM_TEST_SAMPLES: 9999
NUM_TEST_BATCHES: 100
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 20
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba20_10k_0.1.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 20
NUM_DYN_EPOCHS_INIT: 20
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: timeseries
--------------------- Start training ------------------------
evaluating individudal 31 - 43e22fe8d074e783. Mean loss in evaluation epoch: 0.31976038217544556, epochs needed: 20
evaluating individudal 32 - 3cf9b0f9ac7f1848. Mean loss in evaluation epoch: 0.31672927737236023, epochs needed: 20
evaluating individudal 33 - 46b3ef308a2fe5cc. Mean loss in evaluation epoch: 0.31815558671951294, epochs needed: 20
evaluating individudal 34 - dd0bfc0ba8feaadc. Mean loss in evaluation epoch: 0.3176741600036621, epochs needed: 20
evaluating individudal 35 - d212176dc0d773e9. Mean loss in evaluation epoch: 0.31945982575416565, epochs needed: 20
evaluating individudal 36 - e3727ee664fde204. Mean loss in evaluation epoch: 0.3186511993408203, epochs needed: 20
evaluating individudal 37 - 322791d8afdf0c45. Mean loss in evaluation epoch: 0.3191055655479431, epochs needed: 20
evaluating individudal 38 - 37a9d82328db61fb. Mean loss in evaluation epoch: 0.31811028718948364, epochs needed: 20
evaluating individudal 39 - 7d347a5035b2401a. Mean loss in evaluation epoch: 0.3196808695793152, epochs needed: 20
evaluating individudal 0 - d3fc8968eb4022d2. Mean loss in evaluation epoch: 0.3187897503376007, epochs needed: 20
evaluating individudal 1 - aafb814c659dca2d. Mean loss in evaluation epoch: 0.31696033477783203, epochs needed: 20
evaluating individudal 2 - 657e4dd0478e0e22. Mean loss in evaluation epoch: 0.31776803731918335, epochs needed: 20
evaluating individudal 3 - 0bd35afbe6807648. Mean loss in evaluation epoch: 0.31787925958633423, epochs needed: 20
evaluating individudal 4 - 5007bd607cb44686. Mean loss in evaluation epoch: 0.3171209394931793, epochs needed: 20
evaluating individudal 5 - d88b3bbf78665fca. Mean loss in evaluation epoch: 0.3181988596916199, epochs needed: 20
evaluating individudal 6 - 8ac95a5af09a4f4c. Mean loss in evaluation epoch: 0.3180620074272156, epochs needed: 20
evaluating individudal 7 - 4d4370d9ddc6a2b2. Mean loss in evaluation epoch: 0.31777945160865784, epochs needed: 20
evaluating individudal 8 - 4af70a121157df18. Mean loss in evaluation epoch: 0.31811556220054626, epochs needed: 20
evaluating individudal 9 - bfb3c57292378be8. Mean loss in evaluation epoch: 0.3189280331134796, epochs needed: 20
Round 2 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 3cf9b0f9ac7f1848, num_times_seen_before: 0
ACC: 0.38421052631578945
TPR/FPR: 0.4166666666666667, 0.6233766233766234
Loss: 0.31672927737236023
Timestamp: 1150.9917267050005
---------------------------------------------------------------
evaluating individudal 0 - 9420b66ea9d59258. Mean loss in evaluation epoch: 0.31910017132759094, epochs needed: 20
evaluating individudal 1 - 769ae76a97d5f2d8. Mean loss in evaluation epoch: 0.318674772977829, epochs needed: 20
evaluating individudal 2 - 8c086702b423e2a1. Mean loss in evaluation epoch: 0.31793078780174255, epochs needed: 20
evaluating individudal 3 - 5882d3b4c44f9da2. Mean loss in evaluation epoch: 0.31815406680107117, epochs needed: 20
evaluating individudal 4 - e6fce1ff8052ba25. Mean loss in evaluation epoch: 0.31908175349235535, epochs needed: 20
evaluating individudal 5 - c2e99c665bd9ca11. Mean loss in evaluation epoch: 0.31960955262184143, epochs needed: 20
evaluating individudal 6 - 7deddb8877030e3b. Mean loss in evaluation epoch: 0.31838199496269226, epochs needed: 20
evaluating individudal 7 - 731e9844a57d4542. Mean loss in evaluation epoch: 0.3178550899028778, epochs needed: 20
evaluating individudal 8 - 8d37238bd0fdf8ef. Mean loss in evaluation epoch: 0.3182466924190521, epochs needed: 20
evaluating individudal 9 - 3e0c1484af48d392. Mean loss in evaluation epoch: 0.31951647996902466, epochs needed: 20
evaluating individudal 10 - ae36ab1cfe047f29. Mean loss in evaluation epoch: 0.31816405057907104, epochs needed: 20
evaluating individudal 11 - 8f956f6869004c3f. Mean loss in evaluation epoch: 0.31903931498527527, epochs needed: 20
evaluating individudal 12 - ff4ec9aa126f89d4. Mean loss in evaluation epoch: 0.3183468282222748, epochs needed: 20
evaluating individudal 13 - 99538bda33ac55c9. Mean loss in evaluation epoch: 0.3178887367248535, epochs needed: 20
evaluating individudal 14 - 69f7cdfcea419bb5. Mean loss in evaluation epoch: 0.3188692033290863, epochs needed: 20
evaluating individudal 15 - 9171a29509d4191e. Mean loss in evaluation epoch: 0.3179817199707031, epochs needed: 20
evaluating individudal 16 - ac254b2b706a6ee9. Mean loss in evaluation epoch: 0.319650799036026, epochs needed: 20
evaluating individudal 17 - 880b23fbc7eca073. Mean loss in evaluation epoch: 0.3175109028816223, epochs needed: 20
evaluating individudal 18 - 6d082e36cacaaa1a. Mean loss in evaluation epoch: 0.318969190120697, epochs needed: 20
