num samples: 5000
NUM_TRAIN_SAMPLES: 4999
NUM_TRAIN_BATCHES: 50
NUM_TEST_SAMPLES: 4999
NUM_TEST_BATCHES: 50
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 40
IS_CONTINUOUS: False
USE_MAX: False
../data/final/netrd/SIS/timeseries_ba10_5k_0.15.pickle
../data/final/edges_ba10.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 40
NUM_DYN_EPOCHS_INIT: 40
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
--------------------- Start training ------------------------
evaluating individudal 8 - 22e4851f078ab874. Mean loss in evaluation epoch: 0.3805096447467804, epochs needed: 40
evaluating individudal 9 - 36a89a231e4f2a02. Mean loss in evaluation epoch: 0.3815523386001587, epochs needed: 40
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 3de15703aa60d934, num_times_seen_before: 0
ACC: 0.8666666666666667
TPR/FPR: 1.0, 0.20689655172413793
Loss: 0.3744438588619232
Timestamp: 1522.2630291390014
---------------------------------------------------------------
evaluating individudal 0 - 7d2ed7b6e2f1216a. Mean loss in evaluation epoch: 0.3796160817146301, epochs needed: 40
evaluating individudal 1 - bd182563b58a6288. Mean loss in evaluation epoch: 0.37600114941596985, epochs needed: 40
evaluating individudal 2 - e30790d191974cf8. Mean loss in evaluation epoch: 0.3799903690814972, epochs needed: 40
evaluating individudal 3 - 0542e3d38d5f04ce. Mean loss in evaluation epoch: 0.38374295830726624, epochs needed: 40
evaluating individudal 4 - 1905171ba028417e. Mean loss in evaluation epoch: 0.375620037317276, epochs needed: 40
evaluating individudal 5 - a1a154c4213e079b. Mean loss in evaluation epoch: 0.38001319766044617, epochs needed: 40
evaluating individudal 6 - 52f745d0a9493f9e. Mean loss in evaluation epoch: 0.3774940073490143, epochs needed: 40
evaluating individudal 7 - 0ca16ab69788972f. Mean loss in evaluation epoch: 0.37658780813217163, epochs needed: 40
evaluating individudal 8 - 0351158c70c357b5. Mean loss in evaluation epoch: 0.37761107087135315, epochs needed: 40
evaluating individudal 9 - 17a793ae14c8afd7. Mean loss in evaluation epoch: 0.3752029836177826, epochs needed: 40
evaluating individudal 10 - a5780cb7b607b918. Mean loss in evaluation epoch: 0.3767503798007965, epochs needed: 40
evaluating individudal 11 - cd6910f390c52da7. Mean loss in evaluation epoch: 0.3811696469783783, epochs needed: 40
evaluating individudal 12 - 88ad38078c5345cb. Mean loss in evaluation epoch: 0.37692755460739136, epochs needed: 40
evaluating individudal 13 - b90717b7c054cd34. Mean loss in evaluation epoch: 0.3755042850971222, epochs needed: 40
evaluating individudal 14 - 8892f5effc1dd930. Mean loss in evaluation epoch: 0.38185080885887146, epochs needed: 40
evaluating individudal 15 - 8f66955b40547e8f. Mean loss in evaluation epoch: 0.3764261305332184, epochs needed: 40
evaluating individudal 16 - 86f055cff538c6ad. Mean loss in evaluation epoch: 0.37815025448799133, epochs needed: 40
evaluating individudal 17 - 88037b128634f0d5. Mean loss in evaluation epoch: 0.3757896423339844, epochs needed: 40
evaluating individudal 18 - 5dbcbf7f4baeb9f0. Mean loss in evaluation epoch: 0.37751081585884094, epochs needed: 40
evaluating individudal 19 - 8ab7926fcdb2f612. Mean loss in evaluation epoch: 0.37646394968032837, epochs needed: 40
evaluating individudal 20 - 0fb30f9e0c6c131f. Mean loss in evaluation epoch: 0.37804901599884033, epochs needed: 40
evaluating individudal 21 - 999ecc5dbe976c49. Mean loss in evaluation epoch: 0.3773309290409088, epochs needed: 40
evaluating individudal 22 - da63b52648ec87c3. Mean loss in evaluation epoch: 0.38099125027656555, epochs needed: 40
evaluating individudal 23 - 450226e807c61b33. Mean loss in evaluation epoch: 0.37872207164764404, epochs needed: 40
evaluating individudal 24 - c386b5704b9d996b. Mean loss in evaluation epoch: 0.3778523802757263, epochs needed: 40
evaluating individudal 25 - 62f1b00b2de8ba73. Mean loss in evaluation epoch: 0.38209137320518494, epochs needed: 40
evaluating individudal 26 - c1a1c69c5ff28b96. Mean loss in evaluation epoch: 0.3736441731452942, epochs needed: 40
evaluating individudal 27 - f383de2840b3b531. Mean loss in evaluation epoch: 0.3753790259361267, epochs needed: 40
evaluating individudal 28 - b6ddb0526e87346c. Mean loss in evaluation epoch: 0.3764793574810028, epochs needed: 40
evaluating individudal 29 - dd668dc035551e09. Mean loss in evaluation epoch: 0.37938493490219116, epochs needed: 40
evaluating individudal 30 - 9f7cbdf27f6d089d. Mean loss in evaluation epoch: 0.37542152404785156, epochs needed: 40
evaluating individudal 31 - a583abf4654d1989. Mean loss in evaluation epoch: 0.3800223469734192, epochs needed: 40
evaluating individudal 32 - 6cb446e2e3366a25. Mean loss in evaluation epoch: 0.37786865234375, epochs needed: 40
evaluating individudal 33 - ec0da8cb0781b37f. Mean loss in evaluation epoch: 0.37706422805786133, epochs needed: 40
evaluating individudal 34 - 24436cc0ac9fcead. Mean loss in evaluation epoch: 0.3768501877784729, epochs needed: 40
evaluating individudal 35 - 246300a0840fd3a1. Mean loss in evaluation epoch: 0.37659358978271484, epochs needed: 40
evaluating individudal 36 - 86b09e54e93c002b. Mean loss in evaluation epoch: 0.37485355138778687, epochs needed: 40
evaluating individudal 37 - 1029b56f024cfa7e. Mean loss in evaluation epoch: 0.37989532947540283, epochs needed: 40
evaluating individudal 38 - 5174edd1716fdc97. Mean loss in evaluation epoch: 0.3768416941165924, epochs needed: 40
evaluating individudal 39 - ee0520b8a25fd8fc. Mean loss in evaluation epoch: 0.3773171901702881, epochs needed: 40
evaluating individudal 0 - 3de15703aa60d934. Mean loss in evaluation epoch: 0.37458255887031555, epochs needed: 40
evaluating individudal 1 - 9363dd4974571f1a. Mean loss in evaluation epoch: 0.37448805570602417, epochs needed: 40
evaluating individudal 2 - c1b9a2a2c2b56c95. Mean loss in evaluation epoch: 0.375090628862381, epochs needed: 40
evaluating individudal 3 - dec4bf5b2cd6f904. Mean loss in evaluation epoch: 0.37734144926071167, epochs needed: 40
evaluating individudal 4 - f5b95c660d8e590a. Mean loss in evaluation epoch: 0.37596395611763, epochs needed: 40
evaluating individudal 5 - 1251e4a8f882ebef. Mean loss in evaluation epoch: 0.3764900863170624, epochs needed: 40
evaluating individudal 6 - 1a2b3ef65bc5c1f5. Mean loss in evaluation epoch: 0.3758091628551483, epochs needed: 40
evaluating individudal 7 - 7bb068c280ed6932. Mean loss in evaluation epoch: 0.37677082419395447, epochs needed: 40
evaluating individudal 8 - ef86119492275546. Mean loss in evaluation epoch: 0.3771491050720215, epochs needed: 40
evaluating individudal 9 - a31685c3d7f52a73. Mean loss in evaluation epoch: 0.3760412037372589, epochs needed: 40
Round 4 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: c1a1c69c5ff28b96, num_times_seen_before: 0
ACC: 0.9777777777777777
TPR/FPR: 0.9375, 0.0
Loss: 0.3736441731452942
Timestamp: 2028.1803406170002
---------------------------------------------------------------
