num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 200
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_3.5_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 200
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 1
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 11 - 02b03dace36ff79e. Mean loss in evaluation epoch: 0.03665171563625336, epochs needed: 200
evaluating individudal 12 - dc49f754fd353869. Mean loss in evaluation epoch: 0.03727055341005325, epochs needed: 200
evaluating individudal 13 - 6a7704f0ded1ef55. Mean loss in evaluation epoch: 0.03940100595355034, epochs needed: 200
evaluating individudal 14 - 27b5d6d70cdf7afd. Mean loss in evaluation epoch: 0.04611394926905632, epochs needed: 200
evaluating individudal 15 - a38aa01506601ebc. Mean loss in evaluation epoch: 0.038199782371520996, epochs needed: 200
evaluating individudal 16 - 9d4e75f87687f396. Mean loss in evaluation epoch: 0.03667398914694786, epochs needed: 200
evaluating individudal 17 - 4ef7ed3b479da944. Mean loss in evaluation epoch: 0.0370791032910347, epochs needed: 200
evaluating individudal 18 - 774a1b9e2e1b4377. Mean loss in evaluation epoch: 0.03688923642039299, epochs needed: 200
evaluating individudal 19 - ccc1ccb2e0289e48. Mean loss in evaluation epoch: 0.037122245877981186, epochs needed: 200
evaluating individudal 20 - 5042b2e5233b2117. Mean loss in evaluation epoch: 0.03741473704576492, epochs needed: 200
evaluating individudal 21 - eaf45f9e4ec89fa6. Mean loss in evaluation epoch: 0.04097151383757591, epochs needed: 200
evaluating individudal 22 - bdcb20b4c0bd7cc6. Mean loss in evaluation epoch: 0.039695534855127335, epochs needed: 200
evaluating individudal 23 - a9059237b39330e1. Mean loss in evaluation epoch: 0.03773340582847595, epochs needed: 200
evaluating individudal 24 - 80e48b9c93a13295. Mean loss in evaluation epoch: 0.03519464656710625, epochs needed: 200
evaluating individudal 25 - c443838273c065d5. Mean loss in evaluation epoch: 0.03272237256169319, epochs needed: 200
evaluating individudal 26 - 90af97fe34128d09. Mean loss in evaluation epoch: 0.040222011506557465, epochs needed: 200
evaluating individudal 27 - efbee6ab3df9be6a. Mean loss in evaluation epoch: 0.038254640996456146, epochs needed: 200
evaluating individudal 28 - df91c56cede512df. Mean loss in evaluation epoch: 0.04337846860289574, epochs needed: 200
