num samples: 1000
NUM_TRAIN_SAMPLES: 1000
NUM_TRAIN_BATCHES: 10
NUM_TEST_SAMPLES: 1000
NUM_TEST_BATCHES: 10
BATCH_SIZE: 100
HIDDEN_SIZE: 128
NUM_DYN_EPOCHS: 50
IS_CONTINUOUS: True
USE_MAX: False
../data/final/cml/timeseries_ba20_1k_4_restart.pickle
../data/final/edges_ba20.pickle
CONTINUATION: False
CONT_ADDRESS: D:\Uni\BA\ColabOutputs\ba20\2020-12-10T22_50_22.113418
SEED: 0
NUM_DYN_EPOCHS: 50
NUM_DYN_EPOCHS_INIT: 200
DETECT_EARLY_CONVERGENCE: False
RESET_DYN_LEARNER_EVERY_NTH_GEN: 5
POP_SIZE: 10
NEWPOP_SIZE: 40
NUM_GEN: 45
USE_NODEWISE_EVALUATION: False
USE_EVALEPOCH_FOR_GUIDED_MUTATION: False
USE_DETERMINISTIC_EVAL: False
FORMAT: standard
--------------------- Start training ------------------------
evaluating individudal 15 - 49f27d95f3af3622. Mean loss in evaluation epoch: 0.10728245228528976, epochs needed: 50
evaluating individudal 16 - 03cd60426550aa95. Mean loss in evaluation epoch: 0.10733529180288315, epochs needed: 50
evaluating individudal 17 - b27aa83e6bb49b31. Mean loss in evaluation epoch: 0.10798720270395279, epochs needed: 50
evaluating individudal 18 - e6152cdd94712e6f. Mean loss in evaluation epoch: 0.1062631607055664, epochs needed: 50
evaluating individudal 19 - 7901708e78e47775. Mean loss in evaluation epoch: 0.10814253240823746, epochs needed: 50
evaluating individudal 20 - 89889e906d0091ea. Mean loss in evaluation epoch: 0.10514602810144424, epochs needed: 50
evaluating individudal 21 - 3a58a151ae7a35ef. Mean loss in evaluation epoch: 0.10522160679101944, epochs needed: 50
evaluating individudal 22 - 7e95ab3a73b51d1e. Mean loss in evaluation epoch: 0.10832083225250244, epochs needed: 50
evaluating individudal 23 - 907a0c42cadd2e60. Mean loss in evaluation epoch: 0.10825540125370026, epochs needed: 50
evaluating individudal 24 - d6c52f58f5f97c56. Mean loss in evaluation epoch: 0.10880129784345627, epochs needed: 50
evaluating individudal 25 - a86276f65a3fdc98. Mean loss in evaluation epoch: 0.10636915266513824, epochs needed: 50
evaluating individudal 26 - 9af26622222402e2. Mean loss in evaluation epoch: 0.1094215139746666, epochs needed: 50
evaluating individudal 27 - a6f88195e3604b6f. Mean loss in evaluation epoch: 0.10599656403064728, epochs needed: 50
evaluating individudal 28 - c79ccd4a76e686f8. Mean loss in evaluation epoch: 0.10755785554647446, epochs needed: 50
evaluating individudal 29 - c5f8d8bec74ef7cc. Mean loss in evaluation epoch: 0.1070760041475296, epochs needed: 50
evaluating individudal 30 - ce29bcfa784c4343. Mean loss in evaluation epoch: 0.1072772741317749, epochs needed: 50
evaluating individudal 31 - 9c7f000160de359d. Mean loss in evaluation epoch: 0.10767693817615509, epochs needed: 50
evaluating individudal 32 - 7d5c9a80d77bbba5. Mean loss in evaluation epoch: 0.10834624618291855, epochs needed: 50
evaluating individudal 33 - cd030ad5b8f1f602. Mean loss in evaluation epoch: 0.10727665573358536, epochs needed: 50
evaluating individudal 34 - 7271a68b3c5c2c38. Mean loss in evaluation epoch: 0.10637038201093674, epochs needed: 50
evaluating individudal 35 - 5d99fbafaf5bf046. Mean loss in evaluation epoch: 0.10566778481006622, epochs needed: 50
evaluating individudal 36 - 138fd96485b98cf4. Mean loss in evaluation epoch: 0.10646700114011765, epochs needed: 50
evaluating individudal 37 - 538512caed46fc91. Mean loss in evaluation epoch: 0.1045222282409668, epochs needed: 50
evaluating individudal 38 - 24967b9cfb283581. Mean loss in evaluation epoch: 0.10588400810956955, epochs needed: 50
evaluating individudal 39 - 4de66b40cdbea438. Mean loss in evaluation epoch: 0.10695363581180573, epochs needed: 50
evaluating individudal 0 - 9ce0f5bac43b7991. Mean loss in evaluation epoch: 0.10872673988342285, epochs needed: 50
evaluating individudal 1 - 83fd9bbd0138db9b. Mean loss in evaluation epoch: 0.10872604697942734, epochs needed: 50
evaluating individudal 2 - 157a864b05f55c46. Mean loss in evaluation epoch: 0.10659030824899673, epochs needed: 50
evaluating individudal 3 - aa82a028ca8eb86e. Mean loss in evaluation epoch: 0.10584413260221481, epochs needed: 50
evaluating individudal 4 - 3b8f45aea161fb9b. Mean loss in evaluation epoch: 0.10752653330564499, epochs needed: 50
evaluating individudal 5 - 9509daca3ea503bc. Mean loss in evaluation epoch: 0.10613497346639633, epochs needed: 50
evaluating individudal 6 - 8e0f8e912ee3cb78. Mean loss in evaluation epoch: 0.10779333114624023, epochs needed: 50
evaluating individudal 7 - e22695424e9b46b7. Mean loss in evaluation epoch: 0.1068052276968956, epochs needed: 50
evaluating individudal 8 - d2ffd1e39ae301f9. Mean loss in evaluation epoch: 0.10883839428424835, epochs needed: 50
evaluating individudal 9 - cc254306f8588f3c. Mean loss in evaluation epoch: 0.11223500221967697, epochs needed: 50
Round 3 done. -----------------------------------------
------------------------- TRACKING ---------------------------
Matrix Hash: 538512caed46fc91, num_times_seen_before: 0
ACC: 0.6105263157894737
TPR/FPR: 0.9166666666666666, 0.461038961038961
Loss: 0.1045222282409668
Timestamp: 4023.7137061550166
---------------------------------------------------------------
evaluating individudal 0 - d639d24decd139bb. Mean loss in evaluation epoch: 0.1053660437464714, epochs needed: 50
evaluating individudal 1 - 906c5b1044571c89. Mean loss in evaluation epoch: 0.10269420593976974, epochs needed: 50
evaluating individudal 2 - 650d0dd699bfda8c. Mean loss in evaluation epoch: 0.10263936966657639, epochs needed: 50
evaluating individudal 3 - e5a2b6d5f4bf85b1. Mean loss in evaluation epoch: 0.10414912551641464, epochs needed: 50
evaluating individudal 4 - 54f11b0068efd029. Mean loss in evaluation epoch: 0.10337402671575546, epochs needed: 50
evaluating individudal 5 - 5b9afd06971c0fe6. Mean loss in evaluation epoch: 0.10584044456481934, epochs needed: 50
evaluating individudal 6 - a34c604afd84f41e. Mean loss in evaluation epoch: 0.10437998920679092, epochs needed: 50
evaluating individudal 7 - 58d16fc2f1884326. Mean loss in evaluation epoch: 0.1010599285364151, epochs needed: 50
evaluating individudal 8 - d494fc576cfadfa5. Mean loss in evaluation epoch: 0.10180921852588654, epochs needed: 50
evaluating individudal 9 - 5332c26a8c1a68d5. Mean loss in evaluation epoch: 0.10271769016981125, epochs needed: 50
evaluating individudal 10 - 7086d776cdadb681. Mean loss in evaluation epoch: 0.10428350418806076, epochs needed: 50
evaluating individudal 11 - afd091a6fcf432d8. Mean loss in evaluation epoch: 0.10373814404010773, epochs needed: 50
evaluating individudal 12 - 7b7c089362bacc6b. Mean loss in evaluation epoch: 0.10430298000574112, epochs needed: 50
evaluating individudal 13 - eca41dd9491f1cee. Mean loss in evaluation epoch: 0.1020449623465538, epochs needed: 50
evaluating individudal 14 - 3a7c09fca9259bd6. Mean loss in evaluation epoch: 0.10293453186750412, epochs needed: 50
evaluating individudal 15 - 0b05a58b475431b4. Mean loss in evaluation epoch: 0.10259553045034409, epochs needed: 50
evaluating individudal 16 - 78ed3fdb7704f907. Mean loss in evaluation epoch: 0.10359285026788712, epochs needed: 50
evaluating individudal 17 - 9c6b29b7a48cc9fc. Mean loss in evaluation epoch: 0.1026698499917984, epochs needed: 50
evaluating individudal 18 - 667a7ed728c46fd6. Mean loss in evaluation epoch: 0.10269773006439209, epochs needed: 50
evaluating individudal 19 - 94d8593e2d6709b2. Mean loss in evaluation epoch: 0.10318698734045029, epochs needed: 50
evaluating individudal 20 - c9fd00a5b777a7f6. Mean loss in evaluation epoch: 0.10219796001911163, epochs needed: 50
evaluating individudal 21 - e35ae02395d102d4. Mean loss in evaluation epoch: 0.10353114455938339, epochs needed: 50
evaluating individudal 22 - eedf54a2c9bf0e1c. Mean loss in evaluation epoch: 0.10218286514282227, epochs needed: 50
evaluating individudal 23 - 919c56ec646cd309. Mean loss in evaluation epoch: 0.10274603217840195, epochs needed: 50
evaluating individudal 24 - 4526717378df0394. Mean loss in evaluation epoch: 0.10312557220458984, epochs needed: 50
evaluating individudal 25 - e3dac2a6464f5173. Mean loss in evaluation epoch: 0.10163378715515137, epochs needed: 50
evaluating individudal 26 - ab5243a3ab252739. Mean loss in evaluation epoch: 0.10321495682001114, epochs needed: 50
evaluating individudal 27 - e1c76a4c6fd3ce5b. Mean loss in evaluation epoch: 0.10116312652826309, epochs needed: 50
evaluating individudal 28 - 0b5fc7bf495d2afc. Mean loss in evaluation epoch: 0.10359897464513779, epochs needed: 50
evaluating individudal 29 - 3aabd8151d33079e. Mean loss in evaluation epoch: 0.10306276381015778, epochs needed: 50
evaluating individudal 30 - 8ee0b0e898fca3af. Mean loss in evaluation epoch: 0.10270029306411743, epochs needed: 50
evaluating individudal 31 - 33fa4cae270631d6. Mean loss in evaluation epoch: 0.10185734182596207, epochs needed: 50
evaluating individudal 32 - dd47f281b4faaa47. Mean loss in evaluation epoch: 0.10406160354614258, epochs needed: 50
evaluating individudal 33 - bfcff5e47faea3ba. Mean loss in evaluation epoch: 0.09924094378948212, epochs needed: 50
evaluating individudal 34 - 56c954b2b068bbe0. Mean loss in evaluation epoch: 0.10246744006872177, epochs needed: 50
evaluating individudal 35 - c79bd773aa296a21. Mean loss in evaluation epoch: 0.10114305466413498, epochs needed: 50
evaluating individudal 36 - 2885fa3c7c70c51d. Mean loss in evaluation epoch: 0.10303755849599838, epochs needed: 50
evaluating individudal 37 - 978729ad28d16db7. Mean loss in evaluation epoch: 0.10295840352773666, epochs needed: 50
evaluating individudal 38 - 88dbf53e718d7dfa. Mean loss in evaluation epoch: 0.10070357471704483, epochs needed: 50
evaluating individudal 39 - 8ed8ce0085b27833. Mean loss in evaluation epoch: 0.09812190383672714, epochs needed: 50
evaluating individudal 0 - 538512caed46fc91. Mean loss in evaluation epoch: 0.10317303985357285, epochs needed: 50
evaluating individudal 1 - 89889e906d0091ea. Mean loss in evaluation epoch: 0.10329382866621017, epochs needed: 50
evaluating individudal 2 - 3a58a151ae7a35ef. Mean loss in evaluation epoch: 0.102597177028656, epochs needed: 50
evaluating individudal 3 - 5d99fbafaf5bf046. Mean loss in evaluation epoch: 0.10463104397058487, epochs needed: 50
evaluating individudal 4 - 72d2b6979bdfa1c2. Mean loss in evaluation epoch: 0.10302058607339859, epochs needed: 50
evaluating individudal 5 - 8dbd8f0a9f5a1215. Mean loss in evaluation epoch: 0.10276500135660172, epochs needed: 50
evaluating individudal 6 - aa82a028ca8eb86e. Mean loss in evaluation epoch: 0.10529502481222153, epochs needed: 50
evaluating individudal 7 - 24967b9cfb283581. Mean loss in evaluation epoch: 0.10338421911001205, epochs needed: 50
evaluating individudal 8 - a6f88195e3604b6f. Mean loss in evaluation epoch: 0.10474018007516861, epochs needed: 50
